,isbn,authors,original_publication_year,original_title,average_rating,image_url,publication_year,book_read_url
52,375826696,Christopher Paolini,2002,Eragon,3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg,2002,
53,345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,4.2,https://images.gr-assets.com/books/1327656754m/11.jpg,1979,
54,60929871,Aldous Huxley,1932,Brave New World,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg,1932,
55,031606792X,Stephenie Meyer,2008,Breaking Dawn,3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg,2008,
56,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg,2001,http://openlibrary.org/books/OL14444750M/The_secret_life_of_bees/borrow
57,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg,1884,http://www.archive.org/stream/The-adventures-of-huckleberry-finn_Mark-twain
58,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg,1952,http://www.archive.org/stream/CharlottesWeb
59,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg,2003,http://openlibrary.org/books/OL3563061M/The_curious_incident_of_the_dog_in_the_night-time/borrow
60,1594633665,Paula Hawkins,2015,The Girl on the Train,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg,2015,
61,679879242,Philip Pullman,1995,Northern Lights,3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg,1995,
62,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1847,http://www.archive.org/stream/wutheringheights04bron
63,743454537,Jodi Picoult,2004,My Sister's Keeper,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg,2004,
64,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg,1969,
65,446675539,Margaret Mitchell,1936,Gone with the Wind,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg,1936,http://openlibrary.org/books/OL384461M/Gone_With_the_Wind/borrow
66,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg,2007,http://openlibrary.org/books/OL24285213M/A_Thousand_Splendid_Suns/borrow
67,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg,1999,
68,7442912,Veronica Roth,2012,Insurgent,4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg,2012,
69,812550706,Orson Scott Card,1985,Ender's Game,4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg,1985,http://openlibrary.org/books/OL26297019M/El_Juego_de_Ender/borrow
70,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg,1818,http://www.archive.org/stream/ghostseer01schiuoft
71,450040186,Stephen King,1977,The Shining,4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg,1977,
72,316068047,Stephenie Meyer,2008,The Host,3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg,2008,http://openlibrary.org/books/OL24653961M/The_Host/borrow
73,142402516,John Green,2005,Looking for Alaska,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg,2005,
75,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg,1811,http://openlibrary.org/books/OL13247329M/Holes/borrow
76,439244196,"Louis Sachar, Louis Sachar",1998,Holes,3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg,1998,
77,307275558,Lauren Weisberger,2003,The Devil Wears Prada,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2003,http://www.archive.org/stream/lodyssedhomr00home
78,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg,-720,
79,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg,1946,
80,074324754X,Jeannette Walls,2005,The Glass Castle,4.24,https://images.gr-assets.com/books/1400930557m/7445.jpg,2005,http://openlibrary.org/books/OL787691M/Into_the_wild/borrow
81,385486804,Jon Krakauer,1996,Into the Wild,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg,1996,http://openlibrary.org/books/OL3703019M/A_Tale_of_Two_Cities/borrow
82,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg,1859,http://openlibrary.org/books/OL22948660M/Zhuluoji_gong_yüan/borrow
83,030734813X,Michael Crichton,1990,Jurassic Park,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1990,
84,60256656,Shel Silverstein,1964,The Giving Tree,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg,1964,http://openlibrary.org/books/OL26644277M/A_Time_to_Kill/borrow
85,385338600,John Grisham,1989,A Time to Kill,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1989,http://openlibrary.org/books/OL17193251M/Night/borrow
86,374500010,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,4.3,https://images.gr-assets.com/books/1473495285m/1617.jpg,1958,
87,014241493X,John Green,2008,Paper Towns,3.88,https://images.gr-assets.com/books/1349013610m/6442769.jpg,2008,
88,345418263,William Goldman,1973,The Princess Bride,4.25,https://images.gr-assets.com/books/1327903636m/21787.jpg,1973,http://openlibrary.org/books/OL7361797M/The_Outsiders/borrow
89,014038572X,S.E. Hinton,1967,The Outsiders,4.06,https://images.gr-assets.com/books/1442129426m/231804.jpg,1967,
90,385737947,James Dashner,2009,The Maze Runner,4.02,https://images.gr-assets.com/books/1375596592m/6186357.jpg,2009,http://openlibrary.org/books/OL7289308M/Freakonomics/borrow
91,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg,2005,http://www.archive.org/stream/secretgarden00burn
92,517189607,Frances Hodgson Burnett,1911,The Secret Garden,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg,1911,
93,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,4.04,https://images.gr-assets.com/books/1327881361m/320.jpg,1967,http://www.archive.org/stream/pictureofdoriang00wildrich
94,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,4.06,https://images.gr-assets.com/books/1424596966m/5297.jpg,1891,
95,345803507,E.L. James,2012,Fifty Shades Freed,3.88,https://images.gr-assets.com/books/1336418837m/13536860.jpg,2012,http://www.archive.org/stream/dracula00stok
96,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,3.98,https://images.gr-assets.com/books/1387151694m/17245.jpg,1897,http://openlibrary.org/books/OL24112721M/The_Girl_Who_Played_with_Fire/borrow
97,307269981,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,4.22,https://images.gr-assets.com/books/1351778881m/5060378.jpg,2006,
98,1612130585,E.L. James,2011,Fifty Shades Darker,3.87,https://images.gr-assets.com/books/1358266080m/11857408.jpg,2011,
99,60786507,Barbara Kingsolver,1998,The Poisonwood Bible,4.02,https://images.gr-assets.com/books/1412242487m/7244.jpg,1998,http://openlibrary.org/books/OL23056299M/Me_Talk_Pretty_One_Day/borrow
100,349113912,David Sedaris,2000,Me Talk Pretty One Day,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2000,
101,99408392,Maurice Sendak,1963,Where the Wild Things Are,4.22,https://images.gr-assets.com/books/1384434560m/19543.jpg,1963,http://openlibrary.org/books/OL3703020M/The_Count_of_Monte_Cristo/borrow
102,140449264,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,4.21,https://images.gr-assets.com/books/1309203605m/7126.jpg,1844,http://openlibrary.org/books/OL22263727M/The_Road/borrow
103,307265439,Cormac McCarthy,2006,The Road,3.95,https://images.gr-assets.com/books/1439197219m/6288.jpg,2006,
104,7524277,Veronica Roth,2013,Allegiant,3.63,https://images.gr-assets.com/books/1395582745m/18710190.jpg,2013,
106,446693804,Nicholas Sparks,1999,A Walk to Remember,4.15,https://images.gr-assets.com/books/1385738968m/3473.jpg,1999,
107,440241413,Sophie Kinsella,2000,Confessions of a Shopaholic,3.61,https://images.gr-assets.com/books/1327872404m/9416.jpg,2000,
108,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,4.14,https://images.gr-assets.com/books/1411852091m/24280.jpg,1862,http://openlibrary.org/books/OL3421501M/The_Memory_Keeper's_Daughter/borrow
109,553381695,George R.R. Martin,1998,A Clash of Kings,4.4,https://images.gr-assets.com/books/1358254974m/10572.jpg,1998,
110,143037145,Kim Edwards,2005,The Memory Keeper's Daughter,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2005,http://openlibrary.org/books/OL7518690M/Catch-22/borrow
111,670026603,Jojo Moyes,2012,Me Before You,4.27,https://images.gr-assets.com/books/1357108762m/15507958.jpg,2012,http://openlibrary.org/books/OL9324185M/Tuesdays_with_Morrie/borrow
112,684833395,Joseph Heller,1961,Catch-22,3.98,https://images.gr-assets.com/books/1463157317m/168668.jpg,1961,http://openlibrary.org/books/OL18261476M/Middlesex/borrow
113,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,4.06,https://images.gr-assets.com/books/1423763749m/6900.jpg,1997,http://openlibrary.org/books/OL3428821M/The_adventures_of_Tom_Sawyer/borrow
114,312422156,Jeffrey Eugenides,2002,Middlesex,3.98,https://images.gr-assets.com/books/1437029776m/2187.jpg,2002,
115,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,3.89,https://images.gr-assets.com/books/1404811979m/24583.jpg,1876,
116,440498058,Madeleine L'Engle,1962,A Wrinkle in Time,4.04,https://images.gr-assets.com/books/1329061522m/18131.jpg,1962,
117,143038095,Amy Tan,1989,The Joy Luck Club,3.9,https://images.gr-assets.com/books/1304978653m/7763.jpg,1989,
118,038549081X,Margaret Atwood,1985,The Handmaid's Tale,4.06,https://images.gr-assets.com/books/1498057733m/38447.jpg,1985,http://openlibrary.org/books/OL9231526M/Wicked/borrow
119,385729332,Ann Brashares,2001,The Sisterhood of the Traveling Pants,3.75,https://images.gr-assets.com/books/1461611233m/452306.jpg,2001,
121,60987103,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,3.52,https://images.gr-assets.com/books/1437733293m/37442.jpg,1995,http://www.archive.org/stream/tragicallhistori00shak
122,582418275,John Grisham,1991,The Firm,3.99,https://images.gr-assets.com/books/1418465200m/5358.jpg,1991,
123,316098337,Emma Donoghue,2010,Room,4.03,https://images.gr-assets.com/books/1344265419m/7937843.jpg,2010,
124,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",4,https://images.gr-assets.com/books/1351051208m/1420.jpg,1600,
125,340839937,Frank Herbert,1965,Dune,4.19,https://images.gr-assets.com/books/1434908555m/234225.jpg,1965,http://openlibrary.org/books/OL21769732M/One_Flew_Over_the_Cuckoo's_Nest/borrow
126,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,3.92,https://images.gr-assets.com/books/1473396980m/2612.jpg,2000,http://www.archive.org/stream/oldmansea01hemi
127,1451648537,Walter Isaacson,2011,Steve Jobs,4.09,https://images.gr-assets.com/books/1327861368m/11084145.jpg,2011,http://openlibrary.org/books/OL22732440M/The_grapes_of_wrath/borrow
128,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,4.18,https://images.gr-assets.com/books/1485308778m/332613.jpg,1962,
129,684830493,Ernest Hemingway,1952,The Old Man and the Sea,3.73,https://images.gr-assets.com/books/1329189714m/2165.jpg,1952,http://www.archive.org/stream/cu31924013243963
130,142000663,John Steinbeck,1939,The Grapes of Wrath,3.92,https://images.gr-assets.com/books/1352912927m/4395.jpg,1939,http://openlibrary.org/books/OL22560050M/City_of_Glass_(The_Mortal_Instruments_3)/borrow
131,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2003,
132,451528824,L.M. Montgomery,1908,Anne of Green Gables,4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1908,
133,1416914307,Cassandra Clare,2009,City of Glass,4.34,https://images.gr-assets.com/books/1369452339m/3777732.jpg,2009,
134,055357342X,George R.R. Martin,2000,A Storm of Swords,4.54,https://images.gr-assets.com/books/1497931121m/62291.jpg,2000,http://openlibrary.org/books/OL17920846M/The_Scarlet_Letter/borrow
135,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,3.79,https://images.gr-assets.com/books/1408313524m/137791.jpg,1996,
136,440242940,Diana Gabaldon,1991,Outlander,4.2,https://images.gr-assets.com/books/1402600310m/10964.jpg,1991,http://openlibrary.org/books/OL23991536M/The_girl_who_kicked_the_hornets'_nest/borrow
137,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,3.37,https://images.gr-assets.com/books/1404810944m/12296.jpg,1850,
138,1594744769,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,3.89,https://images.gr-assets.com/books/1472782916m/9460487.jpg,2011,http://openlibrary.org/books/OL22860876M/The_pillars_of_the_earth/borrow
139,030726999X,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,4.2,https://images.gr-assets.com/books/1327708260m/6892870.jpg,2007,
140,804139024,Andy Weir,2012,The Martian,4.39,https://images.gr-assets.com/books/1413706054m/18007564.jpg,2012,http://openlibrary.org/books/OL19561918M/Deception_Point/borrow
141,451207149,Ken Follett,1989,The Pillars of the Earth,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1989,
143,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,https://images.gr-assets.com/books/1327861115m/8664353.jpg,2010,http://openlibrary.org/books/OL41076M/Girl_with_a_pearl_earring/borrow
144,671027387,Dan Brown,2001,Deception Point,3.67,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,2001,http://openlibrary.org/books/OL21559347M/If_I_Stay_(If_I_Stay_1)/borrow
145,316055433,Donna Tartt,2013,The Goldfinch,3.87,https://images.gr-assets.com/books/1451554970m/17333223.jpg,2013,http://openlibrary.org/books/OL3437294M/The_red_tent_Anita_Diamant./borrow
146,1595141715,Jay Asher,2007,Thirteen Reasons Why,4.02,https://images.gr-assets.com/books/1333822506m/1217100.jpg,2007,http://openlibrary.org/books/OL8493330M/The_Sea_of_Monsters_(Percy_Jackson_and_the_Olympians_Book_2)/borrow
147,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,3.85,https://images.gr-assets.com/books/1327197580m/2865.jpg,1999,http://openlibrary.org/books/OL7538561M/A_Bend_in_the_Road/borrow
148,525421033,Gayle Forman,2009,If I Stay,3.96,https://images.gr-assets.com/books/1347462970m/4374400.jpg,2009,http://www.archive.org/stream/cityashesmortali00clar
149,312353766,Anita Diamant,1997,The Red Tent,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1997,http://openlibrary.org/books/OL24373677M/The_tragedy_of_Macbeth/borrow
150,786856866,Rick Riordan,2006,The Sea of Monsters,4.23,https://images.gr-assets.com/books/1400602661m/28186.jpg,2006,http://www.archive.org/stream/lordofrings21tolk
151,446528056,Nicholas Sparks,2006,Dear John,4.01,https://images.gr-assets.com/books/1397749854m/5526.jpg,2006,http://openlibrary.org/books/OL24620863M/Something_Borrowed/borrow
152,1416914293,Cassandra Clare,2008,City of Ashes,4.21,https://images.gr-assets.com/books/1432730356m/1582996.jpg,2008,
153,743477103,William Shakespeare,1606,The Tragedy of Macbeth,3.88,https://images.gr-assets.com/books/1459795224m/8852.jpg,1606,http://openlibrary.org/books/OL7360740M/Charlie_and_the_Chocolate_Factory/borrow
154,618346260,J.R.R. Tolkien,1954,The Two Towers,4.42,https://images.gr-assets.com/books/1298415523m/15241.jpg,1954,http://openlibrary.org/books/OL11842656M/The_Battle_of_the_Labyrinth/borrow
155,031232118X,Emily Giffin,2004,Something Borrowed,3.83,https://images.gr-assets.com/books/1305063535m/42156.jpg,2004,
156,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,4.29,https://images.gr-assets.com/books/1468680100m/23772.jpg,1960,
157,142403881,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,4.1,https://images.gr-assets.com/books/1309211401m/6310.jpg,1964,
158,1423101464,Rick Riordan,2008,The Battle of the Labyrinth,4.39,https://images.gr-assets.com/books/1443142158m/2120932.jpg,2008,
159,192833596,Charles Dickens,1860,Great Expectations,3.75,https://images.gr-assets.com/books/1327920219m/2623.jpg,1860,
160,345339738,J.R.R. Tolkien,1955,The Return of the King,4.51,https://images.gr-assets.com/books/1389977161m/18512.jpg,1955,
162,142311339X,Rick Riordan,2010,The Lost Hero,4.35,https://images.gr-assets.com/books/1464201003m/7736182.jpg,2010,
163,1250012570,Rainbow Rowell,2013,Eleanor & Park,4.11,https://images.gr-assets.com/books/1341952742m/15745753.jpg,2013,http://openlibrary.org/books/OL24001796M/The_last_song/borrow
164,055358202X,George R.R. Martin,2005,A Feast for Crows,4.1,https://images.gr-assets.com/books/1429538615m/13497.jpg,2005,http://openlibrary.org/books/OL24196156M/Digital_Fortress/borrow
165,525423648,Ally Condie,2010,Matched,3.68,https://images.gr-assets.com/books/1367706191m/7735333.jpg,2010,http://openlibrary.org/books/OL3702620M/Emma/borrow
